school_name,address,school_type,city,zip_code,grades_offered,website
Belle Grove Elementary School,4502 BELLE GROVE RD,Elementary,BALTIMORE,21225,PK-5th,https://www.aacps.org/o/bellegrovees
Bodkin Elementary School,8320 VENTNOR RD,Elementary,PASADENA,21122,PK-5th,https://www.aacps.org/o/bodkines
Brock Bridge Elementary School,405 BROCK BRIDGE RD,Elementary,LAUREL,20724,PK-5th,https://www.aacps.org/o/brockbridgees
Brooklyn Park Elementary School,200 14TH AVE,Elementary,BALTIMORE,21225,PK-5th,https://www.aacps.org/o/fortsmallwoodes
Fort Smallwood Elementary School,1720 POPLAR RIDGE RD,Elementary,PASADENA,21122,PK-5th,https://www.aacps.org/o/freetownes
Freetown Elementary School,7904 FREETOWN RD,Elementary,GLEN BURNIE,21060,PK-5th,https://www.aacps.org/o/glenburnieparkes
Glen Burnie Park Elementary School,500 MARLBORO RD,Elementary,GLEN BURNIE,21061,PK-5th,https://www.aacps.org/o/georgecromwelles
George Cromwell Elementary School,525 WELLHAM AVE,Elementary,GLEN BURNIE,21060,PK-5th,https://www.aacps.org/o/georgecromwelles
Glendale Elementary School,105 CARROLL RD,Elementary,GLEN BURNIE,21060,PK-5th,https://www.aacps.org/o/glendalees
Hebron-Harman Elementary School,7660 RIDGE CHAPEL RD,Elementary,HANOVER,21076,PK-5th,https://www.aacps.org/o/hebronharmones
High Point Elementary School,924 DUVALL HWY,Elementary,PASADENA,21122,PK-5th,https://www.aacps.org/o/highpointes
Hilltop Elementary School,415 MELROSE AVE,Elementary,GLEN BURNIE,21061,PK-5th,https://www.aacps.org/o/hilltopes
Jacobsville Elementary School,3801 MOUNTAIN RD,Elementary,PASADENA,21122,PK-5th,https://www.aacps.org/o/jacobsvillees
Jessup Elementary School,2900 ELEMENTARY SCHOOL LN,Elementary,JESSUP,20794,PK-5th,https://www.aacps.org/o/jessupes
Lake Shore Elementary School,4531 MOUNTAIN RD,Elementary,PASADENA,21122,PK-5th,https://www.aacps.org/o/lakeshorees
Linthicum Elementary School,101 SCHOOL LN,Elementary,LINTHICUM HEIGHTS,21090,PK-5th,https://www.aacps.org/o/linthicumes
Manor View Elementary School,2900 MACARTHUR RD,Elementary,FORT MEADE,20755,PK-5th,https://www.aacps.org/o/manorviewes
Marley Elementary School,715 COOPER RD,Elementary,GLEN BURNIE,21060,PK-5th,https://www.aacps.org/o/marleyes
