school_name,address,school_type,city,zip_code,grades_offered,website
Chesapeake High School,4798 MOUNTAIN RD,High School,PASADENA,21122,9th-12th,https://www.aacps.org/o/chesapeakehs
Glen Burnie High School,7550 BALTIMORE ANNAPLOIS BLVD SE,High School,GLEN BURNIE,21061,9th-12th,https://www.aacps.org/o/glenburniehs
Meade High School,1100 CLARK RD,High School,FORT MEADE,20755,9th-12th,https://www.aacps.org/o/meadehs
Northeast High School,1121 DUVALL HWY,High School,PASADENA,21122,9th-12th,https://www.aacps.org/o/northeasths
North County High School,10 E 1ST AVE,High School,GLEN BURNIE,21061,9th-12th,https://www.aacps.org/o/northcountyhs
Old Mill High School,600 PATRIOT LN,High School,MILLERSVILLE,21108,9th-12th,https://www.aacps.org/o/oldmillhs
Old Mill West High School,600 PATRIOT LN,High School,MILLERSVILLE,21108,9th-12th,https://www.aacps.org/o/oldmillwesths
Annapolis High School,2700 RIVA RD,High School,ANNAPOLIS,21401,9th-12th,https://www.aacps.org/o/annapolishs
Broadneck High School,1265 GREEN HOLLY DR,High School,ANNAPOLIS,21409,9th-12th,https://www.aacps.org/o/broadneckhs
Severna Park High School,60 ROBINSON RD,High School,SEVERNA PARK,21146,9th-12th,https://www.aacps.org/o/severnaparkhs
Southern High School,4400 SOLOMONS ISLAND RD,High School,HARWOOD,20776,9th-12th,https://www.aacps.org/o/southernhs
Arundel High School,1001 ANNAPOLIS RD,High School,GAMBRILLS,21054,9th-12th,https://www.aacps.org/o/arundelhs
Crofton High School,2291 DAVIDSONVILLE RD,High School,GAMBRILLS,21054,9th-12th,https://www.aacps.org/o/croftonhs
South River High School,201 CENTRAL AVE E,High School,EDGEWATER,21037,9th-12th,https://www.aacps.org/o/southriverhs
