school_name,address,school_type,city,zip_code,grades_offered,website,phone
Key Elementary School,5001 DANA PLACE NW,Elementary School,"Washington, D.C",20016,4th-5th,http://keyschooldc.org/dcps/,202-729-3280
King Elementary School,3200 6TH STREET SE,Elementary School,"Washington, D.C",20032,3rd-5th,http://profiles.dcps.dc.gov/King+Elementary+School,202-939-4900
Kramer Middle School,1700 Q STREET SE,Middle School,"Washington, D.C",20020,6th-8th,http://www.myschooldc.org/schools/profile/56/,202-939-3150
Lafayette Elementary School,5701 BROAD BRANCH ROAD NW,Elementary School,"Washington, D.C",20015,4th-5th,http://www.lafayettehsa.org,202-282-0116
Langdon Elementary School,1900 EVARTS STREET NE,Elementary School,"Washington, D.C",20018,3rd-5th,http://profiles.dcps.dc.gov/Langdon+Elementary+School,202-576-6048
Langley Elementary School,101 T STREET NE,Elementary School,"Washington, D.C",20002,3rd-5th,http://www.langleyelementary.org/,202-576-6034
LaSalle-Backus Elementary School,501 RIGGS ROAD NE,Elementary School,"Washington, D.C",20011,3rd-5th,http://www.lasallebackus.com/,202-671-6340
Leckie Education Campus,4201 MARTIN LUTHER KING JR AVENUE SW,Elementary School,"Washington, D.C",20032,3rd-8th,http://www.leckielionsdc.org/,202-645-3330
Ludlow-Taylor Elementary School,659 G STREET NE,Elementary School,"Washington, D.C",20002,3rd-5th,http://www.ludlowtaylor.org,202-698-3244
Luke C. Moore High School,1001 MONROE STREET NE,Youth Engagement,"Washington, D.C",20017,9th-12th,http://profiles.dcps.dc.gov/Luke+C.+Moore+High+School,202-281-3600
MacFarland Middle School,4400 IOWA AVENUE NW,Middle School,"Washington, D.C",20011,6th-7th,http://profiles.dcps.dc.gov/MacFarland+Middle+School,202-671-6033
Malcolm X Elementary School @ Green,1500 MISSISSIPPI AVENUE SE,Elementary School,"Washington, D.C",20032,3rd-5th,http://profiles.dcps.dc.gov/Malcolm+X+Elementary+School+%40+Green,202-645-3409
Ballou High School,3401 4TH STREET SE,High School,"Washington, D.C",20032,9th-12th,http://www.balloudc.org/,202-645-3400
Ballou STAY High School,3401 4TH STREET SE,Youth Engagement,"Washington, D.C",20032,9th-12th,http://www.balloustay.com/,202-645-3390
Lorraine H. Whitlock Elementary School,533 48TH PLACE NE,Elementary School,"Washington, D.C",20019,3rd-5th,http://profiles.dcps.dc.gov/Aiton+Elementary+School,202-671-6060
Mann Elementary School,4430 NEWARK STREET NW,Elementary School,"Washington, D.C",20016,4th-5th,http://www.horacemanndc.org/,202-282-0126
Marie Reed Elementary School,2201 18TH STREET NW,Elementary School,"Washington, D.C",20009,3rd-5th,http://mariereedes.org/,202-673-7308
McKinley Middle School,151 T STREET NE,Middle School,"Washington, D.C",20002,6th-8th,http://profiles.dcps.dc.gov/McKinley+Middle+School,202-281-3950
McKinley Technology High School,151 T STREET NE,High School/Specialized,"Washington, D.C",20002,9th-12th,http://mckinleytech.org/,202-281-3950
Military Road Early Learning Center,1375 MISSOURI AVENUE NW,Specialized School,"Washington, D.C",20011,3rd-4th,N/A,202-671-6410
Miner Elementary School,601 15TH STREET NE,Elementary School,"Washington, D.C",20002,3rd-5th,http://www.minerelementary.org/,202-397-3960
Moten Elementary School,1565 MORRIS ROAD SE,Elementary School,"Washington, D.C",20020,3rd-5th,http://www.myschooldc.org/schools/profile/75/,202-698-1111
Murch Elementary School,4810 36TH STREET NW,Elementary School,"Washington, D.C",20008,4th-5th,http://www.murchschool.org,202-282-0130
Nalle Elementary School,219 50TH STREET SE,Elementary School,"Washington, D.C",20019,3rd-5th,http://profiles.dcps.dc.gov/Nalle+Elementary+School,202-671-6280
Noyes Elementary School,2725 10TH STREET NE,Elementary School,"Washington, D.C",20018,3rd-5th,http://profiles.dcps.dc.gov/Noyes+Elementary+School,202-281-2580
Oyster-Adams Bilingual School (Adams),2020 19TH STREET NW,Middle School,"Washington, D.C",20009,4th-8th,http://oysteradamsbilingual.org/,202-673-7311
