school_name,address,school_type,city,zip_code,grades_offered,website,phone
Aldrin,11375 Center Harbor Rd,Elementary,Reston,20194,K6,https://aldrines.fcps.edu/,7039043800
Annandale Terrace,7604 Herald St,Elementary,Annandale,22003,K5,https://annandaleterracees.fcps.edu/,7036585600
Armstrong,11900 Lake Newport Rd,Elementary,Reston,20194,K6,https://armstronges.fcps.edu/,7033754800
Bailey's,6111 Knollwood Dr,Elementary,Falls Church,22041,K2,https://baileyses.fcps.edu/,7035756800
Belle View,6701 Fort Hunt Rd,Elementary,Alexandria,22307,K6,https://belleviewes.fcps.edu/,7036608300
Belvedere,6540 Columbia Pike,Elementary,Falls Church,22041,K5,https://belvederees.fcps.edu/,7039166800
Bonnie Brae,5420 Sideburn Rd,Elementary,Fairfax,22032,K6,https://bonniebraees.fcps.edu/,7033213900
Braddock,7825 Heritage Dr,Elementary,Annandale,22003,K5,https://braddockes.fcps.edu/,7039147300
Bren Mar Park,6344 Beryl Rd,Elementary,Alexandria,22312,K5,https://brenmarparkes.fcps.edu/,7039147200
Brookfield,4200 Lees Corner Rd,Elementary,Chantilly,20151,K6,https://brookfieldes.fcps.edu/,7038148700
Bucknell,6925 University Dr,Elementary,Alexandria,22307,K6,https://bucknelles.fcps.edu/,7036602900
Bull Run,15301 Route 29,Elementary,Centreville,20121,K6,https://bullrunes.fcps.edu/,7032271400
Bush Hill,5927 Westchester St,Elementary,Alexandria,22310,K6,https://bushhilles.fcps.edu/,7039245600
Camelot,8100 Guinevere Dr,Elementary,Annandale,22003,K6,https://camelotes.fcps.edu/,7036457000
Cameron,3434 Campbell Dr,Elementary,Alexandria,22303,K6,https://camerones.fcps.edu/,7033292100
Canterbury Woods,4910 Willet Dr,Elementary,Annandale,22003,K6,https://canterburywoodses.fcps.edu/,7037645600
Cardinal Forest,8600 Forrester Blvd,Elementary,Springfield,22152,K6,https://cardinalforestes.fcps.edu/,7039235200
Centre Ridge,14400 New Braddock Rd,Elementary,Centreville,20121,K6,https://centreridgees.fcps.edu/,7032272600
Centreville,14330 Green Trails Blvd,Elementary,Centreville,20121,K6,https://centrevillees.fcps.edu/,7035023500
