school_name,address,school_type,city,zip_code,grades_offered,website,phone
Lowell School,1640 KALMIA ROAD NW,"Independent, Elementary, Middle","Washington, D.C",20012,K-8,https://www.lowellschool.org,202-577-2000
Blessed Sacrament School,5841 CHEVY CHASE PARKWAY NW,"Private, Elementary, Middle","Washington, D.C",20015,K-8,https://www.bsstoday.org,202-966-6682
The Bridges Academy,6119 GEORGIA AVENUE NW,"Private, Elementary, Middle","Washington, D.C",20011,PreK-8,,202-829-1901
Milton Gottesman Jewish Day School North Campus,6045 16TH STREET NW,"Private, Elementary, Middle","Washington, D.C",20011,2th-8th,https://www.miltongottesman.org/,202-291-5737
St. John's College High School,2607 MILITARY ROAD NW,"Private, High","Washington, D.C",20015,9th-12th,https://www.stjohnschs.org/,202-363-2316
Georgetown Day School High School,4200 DAVENPORT STREET NW,"Independent, High","Washington, D.C",20016,9th-12th,https://www.gds.org,202-274-3200
Parkmont School,4842 16TH STREET NW,"Private, Middle, High","Washington, D.C",20011,6th-12th,https://www.parkmont.org,202-726-0740
Milton Gottesman Jewish Day School South Campus,4715 16TH STREET NW,"Private, Elementary, Middle","Washington, D.C",20011,PreK-1,https://www.miltongottesman.org/,202-291-5737
Sheridan School,4400 36TH STREET NW,"Independent, Elementary, Middle","Washington, D.C",20008,K-8,https://www.sheridanschool.org,202-362-7900
St. Anselm's Abbey School,4501 SOUTH DAKOTA AVENUE NE,"Private, Middle, High","Washington, D.C",20017,4th-12th,https://www.saintanselms.org/ ,202-269-2350
Edmund Burke School,4101 CONNECTICUT AVENUE NW,"Independent, Middle, High","Washington, D.C",20008,6th-12th,https://www.burkeschool.org/,202-362-8882
National Presbyterian School,4121 NEBRASKA AVENUE NW,"Private, Elementary","Washington, D.C",20016,PreK-6,https://www.nps-dc.org,202-537-7500
Fusion Academy,2000 FLORIDA AVENUE NW,"Private, Middle, High","Washington, D.C",20009,6th-12th,https://www.fusionacademy.com/campuses/washington-dc/,202-244-0639
Archbishop Carroll High,4300 HAREWOOD ROAD NE,"Private, High","Washington, D.C",20017,9th-12th,https://www.archbishopcarroll.org/,202-529-0900
Sidwell Friends School,3825 WISCONSIN AVENUE NW,"Independent, Elementary, Middle, High","Washington, D.C",20016,PreK-12th,https://www.sidwell.edu,202-537-8100
National Child Research Center,3209 HIGHLAND PLACE NW,"Private, Preschool","Washington, D.C",20008,Preschool,https://www.ncrcpreschool.org/,202-363-8777
Washington International School Tregaron Campus,3100 MACOMB STREET NW,"Independent, Middle, High","Washington, D.C",20008,6th-12th,https://www.wis.edu,202-243-1800
Sacred Heart School,1625 PARK ROAD NW,"Private, Elementary, Middle","Washington, D.C",20010,K-8,https://sacredheartschooldc.com/,202-265-4828
St. Anthony Catholic School,3400 12TH STREET NE,"Private, Elementary, Middle","Washington, D.C",20017,K-8,https://stanthonyschooldc.org/,202-526-4657
National Cathedral School,3612 WOODLEY ROAD NW,"Private, Elementary, Middle","Washington, D.C",20016,4th-12th,https://ncs.cathedral.org/,202-537-6300
Annunciation School,3810 MASSACHUSETTS AVENUE NW,"Private, Middle, High","Washington, D.C",20016,K-8,https://www.annunciationschool.net/ ,202-362-1408
Beauvoir School,3500 WOODLEY ROAD NW,"Private, Elementary, Middle","Washington, D.C",20016,PreK-3,https://www.beauvoirschool.org/,202-537-6485
St. Albans School,MOUNT ST. ALBAN,"Private, Elementary","Washington, D.C",20016,4th-12th,https://www.stalbansschool.org,202-537-6435
Maret School,3000 CATHEDRAL AVENUE NW,"Independent, Middle, High","Washington, D.C",20008,K-12th,https://www.maret.org,202-939-8800
Aidan Montessori School,2700 27TH STREET NW,"Private, Elementary, Middle, High","Washington, D.C",20008,Toddler-3rd,https://www.aidanschool.org ,202-387-2700
The Field School,2301 FOXHALL ROAD NW,"Independent, Preschool, Elementary","Washington, D.C",20007,6th-12th,https://www.fieldschool.org/,202-295-5800
St. Augustine Catholic School,1421 V STREET NW,"Private, Middle, High","Washington, D.C",20009,K-8,https://www.staug-dc.org/ ,202-667-2608
The RIver School,4880 MACARTHUR BOULEVARD NW,"Private, Elementary, Middle","Washington, D.C",20007,PreK-3rd,https://riverschool.net/,202-337-3554
British International School of Washington ,2001 WISCONSIN AVENUE NW,"Private, Elementary","Washington, D.C",20007,Nursery-12th,https://www.nordangliaeducation.com/bisw-washington,202-829-3700 
