school_name,address,school_type,city,zip_code,grades_offered,website
Carson,13618 McLearen Rd,Middle,Herndon,20171,6th-8th,https://carsonms.fcps.edu/
Cooper,977 Balls Hill Rd,Middle,McLean,22101,7th-8th,https://cooperms.fcps.edu/
Franklin,3300 Lees Corner Rd,Middle,Chantilly,20151,7th-8th,https://franklinms.fcps.edu/
Frost,4101 Pickett Rd,Middle,Fairfax,22032,7th-8th,https://frostms.fcps.edu/
Glasgow,4101 Fairfax Pkwy,Middle,Alexandria,22312,6th-8th,https://glasgowms.fcps.edu/
Hayfield,7630 Telegraph Rd,Middle,Alexandria,22315,7th-8th,https://hayfieldss.fcps.edu/
Herndon,901 Locust St,Middle,Herndon,20170,7th-8th,https://herndonms.fcps.edu/
Holmes,6525 Montrose St,Middle,Alexandria,22312,6th-8th,https://holmesms.fcps.edu/
Hughes,11401 Ridge Heights Rd,Middle,Reston,20191,7th-8th,https://hughesms.fcps.edu/
Irving,8100 Old Keene Mill Rd,Middle,Springfield,22152,7th-8th,https://irvingms.fcps.edu/
Jackson,3020 Gallows Rd,Middle,Falls Church,22042,7th-8th,https://jacksonms.fcps.edu/
Key,6402 Franconia Rd,Middle,Springfield,22150,6th-8th,https://keyms.fcps.edu/
Kilmer,8100 Wolftrap Rd,Middle,Vienna,22182,7th-8th,https://kilmerms.fcps.edu/
Lake Braddock,9200 Burke Lake Rd,Middle,Burke,22015,7th-8th,https://lakebraddockss.fcps.edu/
Katherine Johnson,3801 Jermantown Rd,Middle,Fairfax,22030,7th-8th,https://johnsonms.fcps.edu/
Liberty,6801 Union Mill Rd,Middle,Clifton,20124,6th-8th,https://libertyms.fcps.edu/
Poe,7000 Cindy Ln,Middle,Annandale,22003,6th-8th,https://poems.fcps.edu/
Robinson,5035 Sideburn Rd,Middle,Fairfax,22032,7th-8th,https://robinsonss.fcps.edu/
Rocky Run,4400 Stringfellow Rd,Middle,Chantilly,20151,7th-8th,https://rockyrunms.fcps.edu/
Sandburg,8428 Fort Hunt Rd,Middle,Alexandria,22308,7th-8th,https://sandburgms.fcps.edu/
South County,8700 Laurel Crest Dr,Middle,Lorton,22079,7th-8th,https://southcountyms.fcps.edu/
Stone,5500 Sully Park Dr,Middle,Centreville,20120,7th-8th,https://stonems.fcps.edu/
Thoreau,2505 Cedar Ln,Middle,Vienna,22180,7th-8th,https://thoreaums.fcps.edu/
Twain,4700 Franconia Rd,Middle,Alexandria,22310,7th-8th,https://twainms.fcps.edu/
Whitman,2500 Parkers Ln,Middle,Alexandria,22306,7th-8th,https://whitmanms.fcps.edu/
Longfellow,2000 Westmoreland St,Middle,Falls Church,22043,7th-8th,https://longfellowms.fcps.edu/
